x,y
77.0,76.943275938634471
21.0,20.906518554681167
22.0,21.907174936537476
20.0,19.905862172824861
36.0,35.916364282525805
15.0,14.902580263543314
62.0,61.933430210789837
95.0,94.955090812048041
20.0,19.905862172824861
5.0,4.8960164449802246
4.0,3.8953600631239151
19.0,18.905205790968552
96.0,95.955747193904344
62.0,61.933430210789837
36.0,35.916364282525805
15.0,14.902580263543314
65.0,64.935399356358758
14.0,13.901923881687004
87.0,86.949839757197566
69.0,68.938024883783996
89.0,88.951152520910185
51.0,50.92621001037044
89.0,88.951152520910185
27.0,26.910456845819024
97.0,96.956403575760646
58.0,57.930804683364599
79.0,78.94458870234709
21.0,20.906518554681167
93.0,92.953778048335423
27.0,26.910456845819024
99.0,98.957716339473265
31.0,30.913082373244258
33.0,32.914395136956877
80.0,79.945245084203407
28.0,27.91111322767533
47.0,46.923584482945202
53.0,52.927522774083059
69.0,68.938024883783996
28.0,27.91111322767533
33.0,32.914395136956877
91.0,90.952465284622804
71.0,70.939337647496615
50.0,49.92555362851413
76.0,75.942619556778169
4.0,3.8953600631239151
37.0,36.917020664382115
70.0,69.938681265640312
68.0,67.937368501927693
40.0,39.918989809951043
35.0,34.915707900669496
94.0,93.954434430191725
88.0,87.950496139053868
52.0,51.926866392226749
31.0,30.913082373244258
59.0,58.931461065220908
0.0,-0.10726546430132089
39.0,38.918333428094734
64.0,63.934742974502456
69.0,68.938024883783996
57.0,56.930148301508289
13.0,12.901267499830697
72.0,71.939994029352931
76.0,75.942619556778169
61.0,60.932773828933527
82.0,81.946557847916011
18.0,17.904549409112242
41.0,40.919646191807345
50.0,49.92555362851413
55.0,54.928835537795678
13.0,12.901267499830697
46.0,45.922928101088893
13.0,12.901267499830697
79.0,78.94458870234709
53.0,52.927522774083059
15.0,14.902580263543314
28.0,27.91111322767533
81.0,80.945901466059709
69.0,68.938024883783996
52.0,51.926866392226749
84.0,83.94787061162863
68.0,67.937368501927693
27.0,26.910456845819024
56.0,55.92949191965198
48.0,47.924240864801511
40.0,39.918989809951043
39.0,38.918333428094734
82.0,81.946557847916011
100.0,99.958372721329582
59.0,58.931461065220908
43.0,42.920958955519964
67.0,66.936712120071377
38.0,37.917677046238424
63.0,62.934086592646146
91.0,90.952465284622804
60.0,59.932117447077218
14.0,13.901923881687004
21.0,20.906518554681167
87.0,86.949839757197566
73.0,72.940650411209234
32.0,31.913738755100567
2.0,1.8940472994112971
82.0,81.946557847916011
19.0,18.905205790968552
74.0,73.94130679306555
42.0,41.920302573663655
12.0,11.900611117974387
1.0,0.89339091755498812
90.0,89.951808902766487
89.0,88.951152520910185
0.0,-0.10726546430132089
41.0,40.919646191807345
16.0,15.903236645399623
94.0,93.954434430191725
97.0,96.956403575760646
66.0,65.936055738215074
24.0,23.908487700250095
17.0,16.903893027255933
90.0,89.951808902766487
13.0,12.901267499830697
0.0,-0.10726546430132089
64.0,63.934742974502456
96.0,95.955747193904344
98.0,97.957059957616963
12.0,11.900611117974387
41.0,40.919646191807345
47.0,46.923584482945202
78.0,77.943932320490788
20.0,19.905862172824861
89.0,88.951152520910185
29.0,28.911769609531639
64.0,63.934742974502456
75.0,74.941963174921852
12.0,11.900611117974387
25.0,24.909144082106405
28.0,27.91111322767533
30.0,29.912425991387948
65.0,64.935399356358758
59.0,58.931461065220908
64.0,63.934742974502456
53.0,52.927522774083059
71.0,70.939337647496615
97.0,96.956403575760646
73.0,72.940650411209234
9.0,8.8986419724054606
12.0,11.900611117974387
63.0,62.934086592646146
99.0,98.957716339473265
60.0,59.932117447077218
35.0,34.915707900669496
2.0,1.8940472994112971
60.0,59.932117447077218
32.0,31.913738755100567
94.0,93.954434430191725
84.0,83.94787061162863
63.0,62.934086592646146
22.0,21.907174936537476
81.0,80.945901466059709
93.0,92.953778048335423
33.0,32.914395136956877
7.0,6.8973292086928417
42.0,41.920302573663655
46.0,45.922928101088893
54.0,53.928179155939368
16.0,15.903236645399623
49.0,48.924897246657821
43.0,42.920958955519964
95.0,94.955090812048041
66.0,65.936055738215074
21.0,20.906518554681167
35.0,34.915707900669496
80.0,79.945245084203407
37.0,36.917020664382115
54.0,53.928179155939368
56.0,55.92949191965198
1.0,0.89339091755498812
32.0,31.913738755100567
58.0,57.930804683364599
32.0,31.913738755100567
46.0,45.922928101088893
72.0,71.939994029352931
17.0,16.903893027255933
97.0,96.956403575760646
93.0,92.953778048335423
91.0,90.952465284622804
37.0,36.917020664382115
4.0,3.8953600631239151
54.0,53.928179155939368
51.0,50.92621001037044
27.0,26.910456845819024
46.0,45.922928101088893
92.0,91.953121666479106
73.0,72.940650411209234
77.0,76.943275938634471
91.0,90.952465284622804
61.0,60.932773828933527
99.0,98.957716339473265
4.0,3.8953600631239151
72.0,71.939994029352931
19.0,18.905205790968552
57.0,56.930148301508289
78.0,77.943932320490788
26.0,25.909800463962714
